times,road,road status
2020-08-08 15:10,[중부대로(국도 42호선)] 37km/h,소통원활
2020-08-08 15:10,[중부대로(국도 42호선)] 26km/h,소통원활
2020-08-08 15:10,[중부대로(국도 42호선)] 54km/h,소통원활
2020-08-08 15:10,[중부대로(국도 42호선)] 15km/h,부분지체
2020-08-08 15:10,[중부대로(국도 42호선)] 42km/h,소통원활
2020-08-08 15:10,[중부대로(국도 42호선)] 20km/h,부분지체
2020-08-08 15:10,[중부대로(국도 42호선)] 24km/h,부분지체
2020-08-08 15:10,[중부대로(국도 42호선)] 16km/h,부분지체
2020-08-08 15:10,[중부대로(국도 42호선)] 20km/h,부분지체
2020-08-08 15:10,[중부대로(국도 42호선)] 39km/h,소통원활
2020-08-08 15:10,[중부대로(국도 42호선)] 35km/h,소통원활
2020-08-08 15:10,[중부대로(국도 42호선)] 29km/h,소통원활
2020-08-08 15:10,[중부대로(국도 42호선)] 17km/h,부분지체
2020-08-08 15:10,[포은대로(국도 43호선)] 39km/h,소통원활
2020-08-08 15:10,[포은대로(국도 43호선)] 37km/h,소통원활
2020-08-08 15:10,[포은대로(국도 43호선)] 56km/h,소통원활
2020-08-08 15:10,[포은대로(국도 43호선)] 42km/h,소통원활
2020-08-08 15:10,[포은대로(국도 43호선)] 44km/h,소통원활
2020-08-08 15:10,[포은대로(국도 43호선)] 30km/h,소통원활
2020-08-08 15:10,[포은대로(국도 43호선)] 15km/h,부분지체
2020-08-08 15:10,[포은대로(국도 43호선)] 32km/h,소통원활
2020-08-08 15:10,[포은대로(국도 43호선)] 8km/h,정체
2020-08-08 15:10,[포은대로(국도 43호선)] 19km/h,부분지체
2020-08-08 15:10,[포은대로(국도 43호선)] 23km/h,부분지체
2020-08-08 15:10,[포은대로(국도 43호선)] 66km/h,소통원활
2020-08-08 15:10,[포은대로(국도 43호선)] 70km/h,소통원활
2020-08-08 15:10,[포은대로(국도 43호선)] 70km/h,소통원활
2020-08-08 15:10,[포은대로(국도 43호선)] 47km/h,소통원활
2020-08-08 15:10,[포은대로(국도 43호선)] 21km/h,부분지체
2020-08-08 15:10,[포은대로(국도 43호선)] 28km/h,소통원활
2020-08-08 15:10,[포은대로(국도 43호선)] 23km/h,부분지체
2020-08-08 15:10,[포은대로(국도 43호선)] 17km/h,부분지체
2020-08-08 15:10,[포은대로(국도 43호선)] 17km/h,부분지체
2020-08-08 15:10,[포은대로(국도 43호선)] 8km/h,정체
2020-08-08 15:10,[포은대로(국도 43호선)] 14km/h,정체
2020-08-08 15:10,[포은대로(국도 43호선)] 14km/h,정체
2020-08-08 15:10,[포은대로(국도 43호선)] 18km/h,부분지체
2020-08-08 15:10,[포은대로(국도 43호선)] 33km/h,소통원활
2020-08-08 15:10,[포은대로(국도 43호선)] 66km/h,소통원활
